ID DO ALUNO;ANO;QUADRIMESTRE;NOME_DISCIPLINA;COD_DISCIPLINA;CATEGORIA;A;B;C;D;F;O
1;2011;2º Quadrimestre;Bases Computacionais da Ciência;BIM0005-13;Obrigatória;;;;1;;
;;;Bases Matemáticas;BIN0003-13;Obrigatória;;;;;1;
;;;Iniciação à Pesquisa Científica I;ESZX129-13;Opção Limitada;1;;;;;
;;;Origem da Vida e Diversidade dos Seres Vivos;BIL0304-13;Obrigatória;;1;;;;
;;3º Quadrimestre;Geometria Analítica;BCN0404-13;Obrigatória;;;;;1;
;;;Natureza da Informação;BCM0504-13;Obrigatória;;1;;;;
;;;Transformações nos Seres Vivos e Ambiente;BCL0306-13;Obrigatória;;;1;;;
;2012;1º Quadrimestre;Bases Epistemológicas da Ciência Moderna;BIR0004-13;Obrigatória;1;;;;;
;;;Bases Matemáticas;BIN0003-13;Obrigatória;;;;;1;
;;;Processamento da Informação;BCM0505-13;Obrigatória;;1;;;;
;;;Transformações Químicas;BCL0307-13;Obrigatória;;;1;;;
;;2º Quadrimestre;Geometria Analítica;BCN0404-13;Obrigatória;;1;;;;
;;;Transformações Bioquímicas;BCL0308-13;Obrigatória;1;;;;;
;;3º Quadrimestre;Bases Matemáticas;BIN0003-13;Obrigatória;1;;;;;
;;;Mecânica dos Sólidos I;ESTO008-13;Opção Limitada;;;1;;;
;;;Projeto Dirigido;BIS0002-13;Obrigatória;;1;;;;
;2013;1º Quadrimestre;Computadores, Ética e Sociedade;MCTA009-13;Opção Limitada;;1;;;;
;;;Desenvolvimento e Aprendizagem;NHI5001-13;Opção Limitada;1;;;;;
;;;Fenômenos Térmicos;BCJ0205-13;Obrigatória;;;1;;;
;;2º Quadrimestre;Funções de Várias Variáveis;BCN0407-13;Obrigatória;1;;;;;
;;;Introdução às Equações Diferenciais Ordinárias;BCN0405-13;Obrigatória;;1;;;;
;;3º Quadrimestre;Fundamentos de Desenho e Projeto;ESTO003-13;Opção Limitada;;1;;;;
;2015;3º Quadrimestre;Engenharia Econômica Aplicada a Sistemas de Gestão;ESTG005-13;Opção Limitada;;;1;;;
;;;Engenharia Logística;ESTG007-13;Opção Limitada;1;;;;;
;;;Organização do Trabalho;ESTG012-13;Opção Limitada;;1;;;;
;2016;1º Quadrimestre;Circuitos Elétricos e Fotônica;ESTO001-13;Opção Limitada;;;1;;;
;;;Interações Atômicas e Moleculares;BCK0104-15;Obrigatória;;1;;;;
;;2º Quadrimestre;Álgebra Linear;MCTB001-13;Opção Limitada;;;;1;;
;;;Inovação Tecnológica;ESTG010-13;Opção Limitada;;1;;;;
;;;Modelos e Ferramentas de Gestão Ambiental;ESZG032-13;Livre Escolha;;;1;;;
;;3º Quadrimestre;Propriedade Intelectual;ESTG015-13;Opção Limitada;;;1;;;
;;;Tecnologia da Informação;ESTG018-13;Opção Limitada;1;;;;;
;2017;1º Quadrimestre;Economia de Empresas;ESTG003-13;Opção Limitada;;;;1;;
;;;Pesquisa Operacional;ESTG013-13;Opção Limitada;;;;;1;
;;;Trabalho de Graduação I em Engenharia de Gestão;ESTG902-13;Opção Limitada;;;1;;;
;;2º Quadrimestre;Estágio Curricular I em Engenharia de Gestão;ESTG900-13;Obrigatória;1;;;;;
;;;Sistemas CAD/CAM;ESTA014-17;Obrigatória;;1;;;;
;;;Trabalho de Graduação II em Engenharia de Gestão;ESTG903-17;Obrigatória;;;1;;;
;;3º Quadrimestre;Estágio Curricular II em Engenharia de Gestão;ESTG901-13;Obrigatória;1;;;;;
;;;Gestão de Operações;ESTG009-17;Obrigatória;;;1;;;
;;;Materiais e Suas Propriedades;ESTO006-17;Obrigatória;;1;;;;
2;2013;1º Quadrimestre;Bases Matemáticas;BIN0003-13;Obrigatória;;1;;;;
;;2º Quadrimestre;Bases Computacionais da Ciência;BIM0005-13;Obrigatória;;1;;;;
;;;Bases Epistemológicas da Ciência Moderna;BIR0004-13;Obrigatória;;;;;1;
;;;Estrutura da Matéria;BIK0102-13;Obrigatória;;;1;;;
;;;Iniciação à Pesquisa Científica I;ESZX129-13;Opção Limitada;1;;;;;
;;3º Quadrimestre;Fenômenos Mecânicos;BCJ0208-13;Obrigatória;;1;;;;
;;;Natureza da Informação;BCM0504-13;Obrigatória;;;1;;;
;;;Transformações nos Seres Vivos e Ambiente;BCL0306-13;Obrigatória;;;;;1;
;2014;1º Quadrimestre;Bases Epistemológicas da Ciência Moderna;BIR0004-13;Obrigatória;;;1;;;
;;;Fenômenos Térmicos;BCJ0205-13;Obrigatória;;;;1;;
;;;Funções de Várias Variáveis;BCN0407-13;Obrigatória;;1;;;;
;;2º Quadrimestre;Fenômenos Eletromagnéticos;BCJ0209-13;Obrigatória;;;;1;;
;;;Processamento da Informação;BCM0505-13;Obrigatória;;;1;;;
;;3º Quadrimestre;Fundamentos de Desenho e Projeto;ESTO003-13;Opção Limitada;;1;;;;
;;;Introdução à Probabilidade e à Estatística;BIN0406-13;Obrigatória;;;;;1;
;;;Transformações Bioquímicas;BCL0308-13;Obrigatória;;;1;;;
;2015;1º Quadrimestre;Álgebra Linear;MCTB001-13;Opção Limitada;;;;;1;
;;;Engenharia Econômica;ESTO002-13;Opção Limitada;;;1;;;
;;;Interações Atômicas e Moleculares;BCK0104-13;Obrigatória;;;;1;;
;;2º Quadrimestre;Banco de Dados;MC3310;Opção Limitada;;;1;;;
;;;Introdução à Probabilidade e à Estatística;BIN0406-13;Obrigatória;;;;1;;
;;;Mecânica dos Sólidos I;ESTO008-13;Opção Limitada;;;;;1;
;;;Projeto Dirigido;BIS0002-13;Obrigatória;1;;;;;
;;3º Quadrimestre;Álgebra Linear;MCTB001-13;Opção Limitada;;;1;;;
;;;Física Quântica;BCK0103-13;Obrigatória;;;;;1;
;;;Métodos Experimentais em Engenharia;ESTO009-13;Opção Limitada;;1;;;;
;2016;1º Quadrimestre;Teoria da Informação e Códigos;ESTI008-13;Opção Limitada;;;;1;;
;;;Transformações nos Seres Vivos e Ambiente;BCL0306-13;Obrigatória;;;1;;;
;;2º Quadrimestre;Circuitos Digitais;MCTA006-13;Opção Limitada;;1;;;;
;;;Computação Gráfica;MCTA008-13;Opção Limitada;;;;;1;
;;;Inteligência Artificial;MCTA014-13;Opção Limitada;;;;1;;
;;;Programação Orientada a Objetos;MCTA018-13;Opção Limitada;1;;;;;
;;3º Quadrimestre;Arquitetura de Computadores;MCTA004-13;Opção Limitada;;;;1;;
;;;Programação Estruturada;MCTA028-15;Opção Limitada;;;1;;;
;;;Sistemas Multiagentes;MCZA028-13;Livre Escolha;;1;;;;
;2017;1º Quadrimestre;Engenharia de Software;MCTA033-15;Opção Limitada;;;;1;;
;;;Linguagens Formais e Automata;MCTA015-13;Opção Limitada;;;1;;;
;;2º Quadrimestre;Computadores, Ética e Sociedade;MCTA009-13;Obrigatória;;1;;;;
;;;Sistemas Distribuídos;MCTA025-13;Obrigatória;;;1;;;
;;3º Quadrimestre;Gestão de projetos de software;MCZA016-17;Opção Limitada;;1;;;;
;;;Teoria dos Grafos;MCTA027-17;Obrigatória;;;;;1;
3;2013;2º Quadrimestre;Bases Computacionais da Ciência;BIM0005-13;Obrigatória;;;1;;;
;;;Bases Matemáticas;BIN0003-13;Obrigatória;;;;;1;
;;;Origem da Vida e Diversidade dos Seres Vivos;BIL0304-13;Obrigatória;;1;;;;
;;3º Quadrimestre;Geometria Analítica;BCN0404-13;Obrigatória;;;;;1;
;;;Transformações nos Seres Vivos e Ambiente;BCL0306-13;Obrigatória;;;1;;;
;2014;1º Quadrimestre;Bases Epistemológicas da Ciência Moderna;BIR0004-13;Obrigatória;;1;;;;
;;;Fenômenos Térmicos;BCJ0205-13;Obrigatória;;;1;;;
;;;Transformações Químicas;BCL0307-13;Obrigatória;1;;;;;
;;2º Quadrimestre;Comunicação e Redes;BCM0506-13;Obrigatória;;;;1;;
;;;Fenômenos Eletromagnéticos;BCJ0209-13;Obrigatória;;;1;;;
;;3º Quadrimestre;Bases Matemáticas;BIN0003-13;Obrigatória;;1;;;;
;;;Introdução à Probabilidade e à Estatística;BIN0406-13;Obrigatória;;;1;;;
