SIGLA|DISCIPLINA|T|P|I
BC0001|Base Experimental das Ciências Naturais|0|3|2
BC0002|Projeto Dirigido|0|2|10
BC0003|Bases Matemáticas|4|0|5
BC0004|Bases Epistemológicas da Ciência Moderna|3|0|4
BC0005|Bases Computacionais da Ciência|0|2|2
BC0102|Estrutura da Matéria|3|0|4
BC0103|Física Quântica|3|0|4
BC0104|Interações Atômicas e Moleculares|3|0|4
BC0205|Fenômenos Térmicos|3|1|4
BC0207|Energia: Origens, Conversão e Uso|2|0|4
BC0208|Fenômenos Mecânicos|3|2|6
BC0209|Fenômenos Eletromagnéticos|3|2|6
BC0304|Origem da Vida e Diversidade dos Seres Vivos|3|0|4
BC0306|Transformações nos Seres Vivos e Ambiente|3|0|4
BC0307|Transformações Químicas|3|2|6
BC0308|Transformações Bioquímicas|3|2|6
BC0402|Funções de Uma Variável|4|0|6
BC0404|Geometria Analítica|3|0|6
BC0405|Introdução às Equações Diferenciais Ordinárias|4|0|4
BC0406|Introdução à Probabilidade e à Estatística|3|0|4
BC0407|Funções de Várias Variáveis|4|0|4
BC0504|Natureza da Informação|3|0|4
BC0505|Processamento da Informação|3|2|5
BC0506|Comunicação e Redes|3|0|4
BC0602|Estrutura e Dinâmica Social|3|0|4
BC0603|Ciência, Tecnologia e Sociedade|3|0|4
BC1004|Introdução à Neurociência Computacional|4|0|4
BC1005|Recursos Hídricos|3|0|4
BC1006|Psicologia Cognitiva|4|0|4
BC1008|Introdução à Neurociência|4|0|5
BC1010|Teoria da Evolução, Jogos Evolucionários e Dinâmica Populacional|3|1|5
BC1013|Teoria do Conhecimento Científico|4|0|4
BC1103|Mecânica dos Fluidos I|3|1|5
BC1104|Mecânica dos Sólidos|3|1|5
BC1105|Materiais e Suas Propriedades|3|1|5
BC1106|Ciências Atmosféricas|4|0|4
BC1107|Espectroscopia|4|2|6
BC1202|Energia e Meio Ambiente|2|1|3
BC1203|Introdução à Física Nuclear|4|0|4
BC1205|Reações Nucleares|3|0|5
BC1219|Óptica|3|1|4
BC1220|Teoria da Relatividade|4|0|4
BC1302|Química dos Elementos|4|2|6
BC1304|Princípios de Análise Química|4|2|6
BC1305|Práticas de Ecologia|0|4|4
BC1306|Noções de Astronomia e Cosmologia|4|0|4
BC1307|Biologia Celular|3|2|4
BC1308|Biofísica|4|0|4
BC1309|Termodinâmica Aplicada|3|1|5
BC1310|Ligações Químicas|4|0|6
BC1311|Laboratório de Física Médica|0|3|2
BC1312|Laboratório de Física Básica I|0|3|5
BC1313|Introdução à Física Médica|3|0|5
BC1314|Laboratório de Física Básica II|0|3|5
BC1315|Genética Geral|3|2|5
BC1316|Fundamentos de Geologia|4|0|2
BC1317|Fenômenos Ondulatórios|3|1|4
BC1319|Física do Contínuo|3|1|4
BC1320|Biologia Molecular e Biotecnologia|3|0|3
BC1321|Sistemas Biológicos I|4|2|4
BC1322|Sistemas Biológicos II|4|2|4
BC1323|Genética Molecular|2|2|2
BC1324|Sistemas Biológicos III|4|2|4
BC1325|Sistemas Biológicos IV|4|2|4
BC1326|Bioquímica Funcional|4|2|4
BC1327|Conservação da Biodiversidade|4|0|4
BC1328|Bioquímica Experimental|2|4|6
BC1329|Evolução|3|2|3
BC1330|Princípios de Termodinâmica|4|0|6
BC1402|Teoria Axiomática dos Conjuntos|4|0|4
BC1403|Teoria de Conjuntos Básica|4|0|4
BC1405|Teoria Aritmética dos Números|4|0|4
BC1407|Seqüências e Séries|4|0|4
BC1408|Otimização|3|2|4
BC1409|Modelagem de Sistemas Biológicos|3|1|4
BC1412|Métodos Numéricos em EDO's|2|2|4
BC1413|Introdução à Teoria dos Jogos|3|0|3
BC1414|Introdução à Modelagem e Processos Estocásticos|3|1|4
BC1415|Introdução à Inferência Estatística|3|1|4
BC1416|Fundamentos de Desenho e Projeto|1|3|4
BC1417|Funções Complexas e Transformadas Integrais|4|0|4
BC1418|Cálculo Vetorial e Tensorial|4|0|4
BC1419|Cálculo Numérico|3|1|4
BC1420|Funções Especiais|4|0|4
BC1421|Análise Real I|4|0|4
BC1424|Algoritmos e Estruturas de Dados I|2|2|4
BC1425|Álgebra Linear|6|0|5
BC1426|Lógica Básica|4|0|4
BC1427|Equações Diferenciais Ordinárias|4|0|4
BC1429|Teoria dos Grafos|3|1|4
BC1430|Estrutura de Dados I|2|2|4
BC1432|Programação Matemática|3|1|4
BC1433|Cálculo Avançado|4|0|4
BC1435|Análise de Algoritmos|4|0|4
BC1436|Princípios de Simulação Matemática|2|2|4
BC1437|Matemática Discreta|4|0|4
BC1438|Evolução dos Conceitos Matemáticos|4|0|4
BC1439|Introdução à Bioinformática|3|1|4
BC1440|Processos Industriais Orgânicos e Inorgânicos|4|0|4
BC1501|Programação Orientada a Objetos|2|2|4
BC1503|Arquitetura de Computadores|4|0|4
BC1505|Processamento Digital de Imagens|3|1|4
BC1506|Computação Evolutiva e Conexionista|4|0|4
BC1507|Instrumentação e Controle|3|1|5
BC1508|Engenharia de Software|4|2|4
BC1510|Sistemas de Informação|4|0|4
BC1511|Vida Artificial na Computação|2|0|4
BC1513|Redes de Computadores|3|1|4
BC1514|Introdução à Criptografia|3|1|4
