SIGLA|DISCIPLINA|T|P|I|RECOMENDAÇÃO
ESHR022-14|Abordagens Tradicionais das Relações Internacionais|4|0|4|Não há
ESZM035-17|Aditivação de Polímeros|4|0|4|Síntese de Polímeros; Materiais Poliméricos
ESZP041-14|Administração Pública e Reforma do Estado em Perspectiva Comparada|4|0|4|Não há
ESTS016-17|Aerodinâmica I|4|0|5|Dinâmica de Gases
ESZS019-17|Aerodinâmica II|4|0|5|Aerodinâmica I
ESTS012-17|Aeroelasticidade|4|0|5|Aerodinâmica I; Vibrações; Mecânica dos Sólidos I; Métodos Computacionais para Análise Estrutural
ESTS002-17|Aeronáutica I-A|4|0|4|Não há
ESZS001-17|Aeronáutica I-B|4|0|4|Aeronáutica I-A
ESZS002-17|Aeronáutica II|3|1|4|Aeronáutica I-A
MCTB001-17|Álgebra Linear|6|0|5|Geometria Analítica
MCTB002-13|Álgebra Linear Avançada I|4|0|4|Álgebra Linear; Matemática Discreta
MCTB003-17|Álgebra Linear Avançada II|4|0|4|Álgebra Linear Avançada I
MCTD022-18|Álgebra na Educação Básica|0|2|4|Teoria Aritmética dos Números; Geometria Plana Axiomática; Fundamentos de Álgebra
MCTA001-17|Algoritmos e Estruturas de Dados I|2|2|4|Programação Estruturada
MCTA002-17|Algoritmos e Estruturas de Dados II|2|2|4|Algoritmos e Estruturas de Dados I
MCZA035-17|Algoritmos Probabilísticos|4|0|4|Algoritmos e Estruturas de Dados II; Introdução à Probabilidade e à Estatística
MCZB001-13|Análise Complexa|4|0|4|Funções de Variável Complexa
ESHR001-13|Análise da Conjuntura Internacional Contemporânea|4|0|4|Política Externa Brasileira Contemporânea
ESZT001-17|Análise da Produção do Espaço e Políticas Públicas Urbanas|4|0|4|Não há
MCTA003-17|Análise de Algoritmos|4|0|4|Matemática Discreta; Algoritmos e Estruturas de Dados I
MCZA036-17|Análise de Algoritmos II|4|0|4|Análise de Algoritmos
NHT3067-15|Análise de Fourier e Aplicações|4|0|4|Funções de Várias Variáveis; Variáveis Complexas e Aplicações
MCZA001-13|Análise de Projetos|2|0|2|Não há
ESZG001-17|Análise de Redes de Transporte e Distribuição|2|2|5|Pesquisa Operacional
MCZB002-13|Análise de Regressão|3|1|4|Álgebra Linear; Introdução à Inferência Estatística
ESZC001-17|Análise de Séries Temporais - Tópicos Especiais|4|0|3|Econometria III
ESTA005-17|Análise de Sistemas Dinâmicos Lineares|3|0|4|Modelagem e Controle
ESTU024-17|Análise de Sistemas e Modelagem Ambiental|1|2|4|Recomendada para o final do curso
ESZU027-17|Análise e Concepção Estrutural para a Engenharia|2|2|4|Recomendada para o final do curso
ESTB029-17|Análise e Controle de Sistemas Mecânicos|2|2|5|Modelagem de Sistemas Dinâmicos I; Modelagem de Sistemas Dinâmicos II
ESZC018-17|Análise Econômica de Projetos|4|0|4|Não há
ESTE037-17|Análise Econômica de Projetos Energéticos|4|0|4|Engenharia Econômica
ESZE075-17|Análise Estática em Sistemas Elétricos de Potência|4|0|4|Introdução aos Sistemas Elétricos de Potência
ESZS016-17|Análise Experimental de Estruturas|1|3|3|Mecânica dos Sólidos I
MCZB003-17|Análise Multivariada|4|0|4|Álgebra Linear; Introdução à Inferência Estatística
MCTD024-18|Análise na Educação Básica|0|2|4|Funções de uma variável
MCTB004-17|Análise no Rn I|4|0|4|Álgebra Linear; Análise Real I; Cálculo Vetorial e Tensorial
MCZB004-18|Análise no Rn II|4|0|4|Análise no Rn I
MCZB005-17|Análise Numérica|4|0|4|Funções de Uma Variável; Funções de Várias Variáveis; Álgebra Linear; Cálculo Numérico
NHT4001-15|Análise Química Instrumental|2|4|6|Química Analítica Clássica I; Química Analítica Clássica II
MCTB005-13|Análise Real I|4|0|4|Sequências e Séries
MCTB006-13|Análise Real II|4|0|4|Análise Real I
