|ID DO ALUNO|ANO|QUADRIMESTRE|DISCIPLINA|COD_DISCIPLINA|CATEGORIA|ANO_QUAD|QUAD_CURSADO|ANOS_NA_UNIVER|SIGLA|T|P|I|CRED|CONCEITO|CONCEITO_CRED|PORC_APROV|PORC_REPROV|PORC_ABANDO|CRED_POR_QUAD|DIFERENCA_A_MEDIA|Z_SCORE|CR_ACUMULADO|CR_QUAD|CR_ATE_QUAD_ANTERIOR|CR_POR_ANO|A|B|C|D|F|O|APROVADO|REPROVADO|ABANDONO
0|1.0|2011.0|2º Quadrimestre|bases computacionais da ciencia|BIM0005-13|Obrigatória|2011.02º Quadrimestre|1|0|BIS0005-15|0|2|2|2|1.0|2.0|0.9371069182389937|0.0440251572327044|0.018867924528301886|11|0.9333333333333336|0.2831896879219573|2.5496688741721854|1.7272727272727273|4.0|1.7|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0
1|1.0|2011.0|2º Quadrimestre|bases matematicas|BIN0003-13|Obrigatória|2011.02º Quadrimestre|1|0|BIS0003-15|4|0|5|4|0.0|0.0|0.7584745762711864|0.24152542372881355|0.0|11|0.9333333333333336|0.2831896879219573|2.5496688741721854|1.7272727272727273|4.0|1.7|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0
2|1.0|2011.0|2º Quadrimestre|iniciacao a pesquisa cientifica i|ESZX129-13|Opção Limitada|2011.02º Quadrimestre|1|0|BC2001|2|0|3|2|4.0|8.0|1.0|0.0|0.0|11|0.9333333333333336|0.2831896879219573|2.5496688741721854|1.7272727272727273|4.0|1.7|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0
3|1.0|2011.0|2º Quadrimestre|origem da vida e diversidade dos seres vivos|BIL0304-13|Obrigatória|2011.02º Quadrimestre|1|0|BC0304|3|0|4|3|3.0|9.0|0.9421487603305785|0.05785123966942149|0.0|11|0.9333333333333336|0.2831896879219573|2.5496688741721854|1.7272727272727273|4.0|1.7|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0
4|1.0|2011.0|3º Quadrimestre|geometria analitica|BCN0404-13|Obrigatória|2011.03º Quadrimestre|2|0|BCN0404-15|3|0|6|3|0.0|0.0|0.6285714285714286|0.3314285714285714|0.04|9|-1.0666666666666664|-0.3236453576250939|2.5496688741721854|1.6666666666666667|1.7272727272727273|1.7|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0
5|1.0|2011.0|3º Quadrimestre|natureza da informacao|BCM0504-13|Obrigatória|2011.03º Quadrimestre|2|0|BCM0504-15|3|0|4|3|3.0|9.0|0.9382716049382716|0.043209876543209874|0.018518518518518517|9|-1.0666666666666664|-0.3236453576250939|2.5496688741721854|1.6666666666666667|1.7272727272727273|1.7|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0
6|1.0|2011.0|3º Quadrimestre|transformacoes nos seres vivos e ambiente|BCL0306-13|Obrigatória|2011.03º Quadrimestre|2|0|BC0306|3|0|4|3|2.0|6.0|0.9685863874345549|0.02617801047120419|0.005235602094240838|9|-1.0666666666666664|-0.3236453576250939|2.5496688741721854|1.6666666666666667|1.7272727272727273|1.7|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0
7|1.0|2012.0|1º Quadrimestre|bases matematicas|BIN0003-13|Obrigatória|2012.01º Quadrimestre|3|1|BIS0003-15|4|0|5|4|0.0|0.0|0.7584745762711864|0.24152542372881355|0.0|17|6.933333333333334|2.1036948245631106|2.5496688741721854|2.176470588235294|1.7|2.742857142857143|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0
8|1.0|2012.0|1º Quadrimestre|bases epistemologicas da ciencia moderna|BIR0004-13|Obrigatória|2012.01º Quadrimestre|3|1|BIR0004-15|3|0|4|3|4.0|12.0|0.9182692307692307|0.04807692307692308|0.03365384615384615|17|6.933333333333334|2.1036948245631106|2.5496688741721854|2.176470588235294|1.7|2.742857142857143|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0
9|1.0|2012.0|1º Quadrimestre|processamento da informacao|BCM0505-13|Obrigatória|2012.01º Quadrimestre|3|1|BCM0505-15|3|2|5|5|3.0|15.0|0.8509316770186336|0.13664596273291926|0.012422360248447204|17|6.933333333333334|2.1036948245631106|2.5496688741721854|2.176470588235294|1.7|2.742857142857143|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0
10|1.0|2012.0|1º Quadrimestre|transformacoes quimicas|BCL0307-13|Obrigatória|2012.01º Quadrimestre|3|1|BCL0307-15|3|2|6|5|2.0|10.0|0.8650306748466258|0.11042944785276074|0.024539877300613498|17|6.933333333333334|2.1036948245631106|2.5496688741721854|2.176470588235294|1.7|2.742857142857143|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0
11|1.0|2012.0|2º Quadrimestre|geometria analitica|BCN0404-13|Obrigatória|2012.02º Quadrimestre|4|1|BCN0404-15|3|0|6|3|3.0|9.0|0.6285714285714286|0.3314285714285714|0.04|8|-2.0666666666666664|-0.6270628803986195|2.5496688741721854|3.625|1.9189189189189189|2.742857142857143|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0
12|1.0|2012.0|2º Quadrimestre|transformacoes bioquimicas|BCL0308-13|Obrigatória|2012.02º Quadrimestre|4|1|BC0308|3|2|6|5|4.0|20.0|0.9308510638297872|0.06382978723404255|0.005319148936170213|8|-2.0666666666666664|-0.6270628803986195|2.5496688741721854|3.625|1.9189189189189189|2.742857142857143|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0
13|1.0|2012.0|3º Quadrimestre|bases matematicas|BIN0003-13|Obrigatória|2012.03º Quadrimestre|5|1|BIS0003-15|4|0|5|4|4.0|16.0|0.7584745762711864|0.24152542372881355|0.0|10|-0.06666666666666643|-0.020227834851568302|2.5496688741721854|3.0|2.2222222222222223|2.742857142857143|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0
14|1.0|2012.0|3º Quadrimestre|mecanica dos solidos i|ESTO008-13|Opção Limitada|2012.03º Quadrimestre|5|1|ESTO008-17|3|1|5|4|2.0|8.0|0.7653061224489796|0.23469387755102042|0.0|10|-0.06666666666666643|-0.020227834851568302|2.5496688741721854|3.0|2.2222222222222223|2.742857142857143|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0
15|1.0|2012.0|3º Quadrimestre|projeto dirigido|BIS0002-13|Obrigatória|2012.03º Quadrimestre|5|1|BCS0002-15|0|2|10|2|3.0|6.0|0.9095477386934674|0.02512562814070352|0.06532663316582915|10|-0.06666666666666643|-0.020227834851568302|2.5496688741721854|3.0|2.2222222222222223|2.742857142857143|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0
16|1.0|2013.0|1º Quadrimestre|computadores, etica e sociedade|MCTA009-13|Opção Limitada|2013.01º Quadrimestre|6|2|MCTA009-13|2|0|4|2|3.0|6.0|0.9420289855072463|0.043478260869565216|0.014492753623188406|10|-0.06666666666666643|-0.020227834851568302|2.5496688741721854|3.0|2.3636363636363638|3.1818181818181817|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0
17|1.0|2013.0|1º Quadrimestre|desenvolvimento e aprendizagem|NHI5001-13|Opção Limitada|2013.01º Quadrimestre|6|2|NHI5001-15|4|0|4|4|4.0|16.0|0.95|0.0|0.05|10|-0.06666666666666643|-0.020227834851568302|2.5496688741721854|3.0|2.3636363636363638|3.1818181818181817|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0
18|1.0|2013.0|1º Quadrimestre|fenomenos termicos|BCJ0205-13|Obrigatória|2013.01º Quadrimestre|6|2|BCJ0205-15|3|1|4|4|2.0|8.0|0.8235294117647058|0.1711229946524064|0.0053475935828877|10|-0.06666666666666643|-0.020227834851568302|2.5496688741721854|3.0|2.3636363636363638|3.1818181818181817|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0
19|1.0|2013.0|2º Quadrimestre|funcoes de varias variaveis|BCN0407-13|Obrigatória|2013.02º Quadrimestre|7|2|BCN0407-15|4|0|4|4|4.0|16.0|0.6866952789699571|0.2575107296137339|0.055793991416309016|8|-2.0666666666666664|-0.6270628803986195|2.5496688741721854|3.5|2.4615384615384617|3.1818181818181817|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0
20|1.0|2013.0|2º Quadrimestre|introducao as equacoes diferenciais ordinarias|BCN0405-13|Obrigatória|2013.02º Quadrimestre|7|2|BCN0405-15|4|0|4|4|3.0|12.0|0.6317991631799164|0.32217573221757323|0.04602510460251046|8|-2.0666666666666664|-0.6270628803986195|2.5496688741721854|3.5|2.4615384615384617|3.1818181818181817|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0
21|1.0|2013.0|3º Quadrimestre|fundamentos de desenho e projeto|ESTO003-13|Opção Limitada|2013.03º Quadrimestre|8|2|BC1416|1|3|4|4|3.0|12.0|0.9651162790697675|0.011627906976744186|0.023255813953488372|4|-6.066666666666666|-1.8407329714927219|2.5496688741721854|3.0|2.5753424657534247|3.1818181818181817|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0
22|1.0|2015.0|3º Quadrimestre|engenharia economica aplicada a sistemas de gestao|ESTG005-13|Opção Limitada|2015.03º Quadrimestre|9|3|ESTG005-17|4|0|5|4|2.0|8.0|0.5625|0.3125|0.125|10|-0.06666666666666643|-0.020227834851568302|2.5496688741721854|3.0|2.5974025974025974|3.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0
23|1.0|2015.0|3º Quadrimestre|engenharia logistica|ESTG007-13|Opção Limitada|2015.03º Quadrimestre|9|3|ESTG007-17|2|2|4|4|4.0|16.0|0.8888888888888888|0.0|0.1111111111111111|10|-0.06666666666666643|-0.020227834851568302|2.5496688741721854|3.0|2.5974025974025974|3.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0
24|1.0|2015.0|3º Quadrimestre|organizacao do trabalho|ESTG012-13|Opção Limitada|2015.03º Quadrimestre|9|3|ESTG023-17|2|0|3|2|3.0|6.0|1.0|0.0|0.0|10|-0.06666666666666643|-0.020227834851568302|2.5496688741721854|3.0|2.5974025974025974|3.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0
25|1.0|2016.0|1º Quadrimestre|circuitos eletricos e fotonica|ESTO001-13|Opção Limitada|2016.01º Quadrimestre|10|3|ESTO001-17|3|1|5|4|2.0|8.0|0.6914893617021277|0.26595744680851063|0.0425531914893617|7|-3.0666666666666664|-0.9304804031721451|2.5496688741721854|2.4285714285714284|2.6436781609195403|2.1923076923076925|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0
26|1.0|2016.0|1º Quadrimestre|interacoes atomicas e moleculares|BCK0104-15|Obrigatória|2016.01º Quadrimestre|10|3|BCK0104-15|3|0|4|3|3.0|9.0|0.775|0.18|0.045|7|-3.0666666666666664|-0.9304804031721451|2.5496688741721854|2.4285714285714284|2.6436781609195403|2.1923076923076925|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0
27|1.0|2016.0|2º Quadrimestre|algebra linear|MCTB001-13|Opção Limitada|2016.02º Quadrimestre|11|3|MCTB001-17|6|0|5|6|1.0|6.0|0.7125748502994012|0.23353293413173654|0.05389221556886228|13|2.9333333333333336|0.8900247334690085|2.5496688741721854|1.8461538461538463|2.627659574468085|2.1923076923076925|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0
28|1.0|2016.0|2º Quadrimestre|inovacao tecnologica|ESTG010-13|Opção Limitada|2016.02º Quadrimestre|11|3|ESTG010-17|2|2|2|4|3.0|12.0|0.8666666666666667|0.13333333333333333|0.0|13|2.9333333333333336|0.8900247334690085|2.5496688741721854|1.8461538461538463|2.627659574468085|2.1923076923076925|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0
29|1.0|2016.0|2º Quadrimestre|modelos e ferramentas de gestao ambiental|ESZG032-13|Livre Escolha|2016.02º Quadrimestre|11|3|ESZG032-17|3|0|3|3|2.0|6.0|1.0|0.0|0.0|13|2.9333333333333336|0.8900247334690085|2.5496688741721854|1.8461538461538463|2.627659574468085|2.1923076923076925|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0
30|1.0|2016.0|3º Quadrimestre|propriedade intelectual|ESTG015-13|Opção Limitada|2016.03º Quadrimestre|12|4|ESTG025-17|4|0|4|4|2.0|8.0|0.8235294117647058|0.11764705882352941|0.058823529411764705|6|-4.066666666666666|-1.2338979259456706|2.5496688741721854|2.6666666666666665|2.532710280373832|2.1923076923076925|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0
31|1.0|2016.0|3º Quadrimestre|tecnologia da informacao|ESTG018-13|Opção Limitada|2016.03º Quadrimestre|12|4|EN2515|2|0|3|2|4.0|8.0|0.9166666666666666|0.08333333333333333|0.0|6|-4.066666666666666|-1.2338979259456706|2.5496688741721854|2.6666666666666665|2.532710280373832|2.1923076923076925|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0
32|1.0|2017.0|1º Quadrimestre|economia de empresas|ESTG003-13|Opção Limitada|2017.01º Quadrimestre|13|4|ESTG003-17|2|0|3|2|1.0|2.0|0.8666666666666667|0.13333333333333333|0.0|10|-0.06666666666666643|-0.020227834851568302|2.5496688741721854|0.6|2.5398230088495577|2.5789473684210527|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0
